conf_threshold,mAP,AP50,AP75,num_predictions
0.05,0.1704813675236083,0.2785354731128005,0.17054177911824953,22162
0.1,0.1704813675236083,0.2785354731128005,0.17054177911824953,22162
0.15,0.1704813675236083,0.2785354731128005,0.17054177911824953,22162
0.2,0.1704813675236083,0.2785354731128005,0.17054177911824953,22162
0.25,0.1704813675236083,0.2785354731128005,0.17054177911824953,22162
0.3,0.1704813675236083,0.2785354731128005,0.17054177911824953,22162
0.35,0.15495423337127393,0.2469662865560359,0.15749344337628146,15854
0.4,0.13595373419044188,0.2102947151255858,0.1415576016028922,11333
0.5,0.0905024018856514,0.1323375633701473,0.09566803200579456,5325
0.6,0.056562542497731814,0.07588184390751258,0.060964073497119124,1794
0.75,0.014854692279900978,0.017161716171617162,0.01540879362661541,71
